datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-03-24 09:30:00,191.65,192.36,188.26,190.77,31659001,0.09,1.14,2.27,-1.13,28.34,192.82,47.78
2023-03-24 10:30:00,190.77,191.24,187.25,187.55,19604828,-0.09,0.61,1.94,-1.32,27.17,191.76,42.03
2023-03-24 11:30:00,187.56,190.10,187.15,188.37,17309595,0.05,0.26,1.60,-1.34,26.12,191.08,43.87
2023-03-24 12:30:00,188.39,189.55,187.78,188.31,12891829,0.10,-0.02,1.28,-1.30,25.14,190.53,43.78
2023-03-24 13:30:00,188.30,190.36,188.26,190.29,11837070,0.27,-0.09,1.00,-1.09,23.87,190.48,48.37
2023-03-24 14:30:00,190.27,190.79,189.81,190.37,13016070,0.29,-0.13,0.78,-0.91,22.50,190.46,48.55
2023-03-24 15:30:00,190.34,190.50,189.42,190.41,7405100,0.32,-0.16,0.59,-0.75,21.39,190.45,48.67
2023-03-27 09:30:00,194.41,197.32,194.08,194.96,34393842,0.66,0.18,0.51,-0.33,21.73,191.35,58.40
2023-03-27 10:30:00,195.00,195.25,193.43,194.84,18379510,0.66,0.44,0.49,-0.06,21.77,192.05,58.08
2023-03-27 11:30:00,194.85,195.34,191.86,192.70,14796920,0.51,0.46,0.49,-0.03,21.15,192.18,52.65
2023-03-27 12:30:00,192.70,192.78,189.94,191.70,16656597,0.45,0.39,0.47,-0.07,19.86,192.08,50.30
2023-03-27 13:30:00,191.71,193.15,191.34,192.78,12660038,0.56,0.42,0.46,-0.03,18.79,192.22,52.77
2023-03-27 14:30:00,192.77,193.93,192.74,193.13,13303961,0.59,0.47,0.46,0.01,18.07,192.40,53.57
2023-03-27 15:30:00,193.14,193.40,191.56,191.86,8152832,0.50,0.40,0.45,-0.05,16.92,192.30,50.23
2023-03-28 09:30:00,192.00,192.35,187.85,188.93,26743334,0.21,0.11,0.38,-0.27,16.81,191.62,43.50
2023-03-28 10:30:00,188.94,189.57,187.64,189.22,15002387,0.26,-0.10,0.29,-0.38,16.76,191.14,44.29
2023-03-28 11:30:00,189.19,189.39,187.02,187.18,11027689,0.07,-0.42,0.14,-0.57,16.91,190.35,40.02
2023-03-28 12:30:00,187.16,187.21,185.43,187.04,14820911,0.11,-0.68,-0.02,-0.66,17.51,189.69,39.74
2023-03-28 13:30:00,187.04,187.93,186.34,187.21,11149389,0.16,-0.87,-0.19,-0.68,17.73,189.19,40.29
2023-03-28 14:30:00,187.21,188.88,186.92,188.45,10422721,0.31,-0.90,-0.33,-0.57,17.50,189.04,44.30
2023-03-28 15:30:00,188.44,189.37,188.19,189.21,7520648,0.40,-0.86,-0.44,-0.42,17.06,189.08,46.65
2023-03-29 09:30:00,193.13,195.29,189.87,190.29,35975280,0.49,-0.73,-0.50,-0.23,17.12,189.32,49.92
2023-03-29 10:30:00,190.38,191.77,189.44,191.51,21312492,0.61,-0.52,-0.50,-0.02,17.01,189.76,53.38
2023-03-29 11:30:00,191.53,193.53,191.24,193.40,14503379,0.78,-0.20,-0.44,0.24,17.40,190.49,58.20
2023-03-29 12:30:00,193.39,193.70,191.40,192.49,13955165,0.67,-0.02,-0.36,0.34,17.81,190.89,55.24
2023-03-29 13:30:00,192.48,192.62,190.63,191.54,12849309,0.56,0.05,-0.28,0.32,17.84,191.02,52.25
2023-03-29 14:30:00,191.54,193.39,191.41,193.28,13308250,0.73,0.24,-0.17,0.41,18.11,191.47,56.86
2023-03-29 15:30:00,193.28,194.04,192.97,193.92,8532929,0.81,0.43,-0.05,0.48,18.56,191.96,58.44
2023-03-30 09:30:00,195.58,196.78,194.42,196.19,31944922,1.01,0.76,0.11,0.65,19.73,192.81,63.57
2023-03-30 10:30:00,196.21,197.33,195.21,196.47,17907230,0.98,1.04,0.30,0.74,20.95,193.54,64.15
2023-03-30 11:30:00,196.45,196.77,195.17,195.40,12614411,0.84,1.15,0.47,0.68,22.06,193.91,60.16
2023-03-30 12:30:00,195.39,197.26,194.96,197.01,13589041,0.93,1.36,0.65,0.71,23.23,194.53,63.81
2023-03-30 13:30:00,197.01,197.16,195.33,196.31,13859487,0.84,1.45,0.81,0.64,24.31,194.89,61.18
2023-03-30 14:30:00,196.31,196.54,195.08,195.69,10788680,0.77,1.45,0.94,0.52,25.15,195.05,58.87
2023-03-30 15:30:00,195.69,196.10,195.15,195.28,6875362,0.72,1.41,1.03,0.38,25.92,195.09,57.34
2023-03-31 09:30:00,197.53,199.90,197.20,199.73,31931694,0.97,1.71,1.17,0.55,27.70,196.02,67.33
2023-03-31 10:30:00,199.72,202.24,199.66,202.02,25279824,1.04,2.11,1.36,0.76,29.82,197.22,71.09
2023-03-31 11:30:00,202.02,205.45,201.80,205.32,28684126,1.12,2.67,1.62,1.05,32.29,198.84,75.45
2023-03-31 12:30:00,205.32,206.34,204.12,204.83,25602321,1.02,3.03,1.90,1.13,34.69,200.04,73.67
2023-03-31 13:30:00,204.82,207.18,204.62,206.89,20658028,1.04,3.44,2.21,1.24,37.04,201.41,76.21
2023-03-31 14:30:00,206.91,207.79,206.66,207.03,18429780,0.98,3.74,2.52,1.23,39.30,202.53,76.38
2023-03-31 15:30:00,207.06,207.55,206.02,207.48,13645044,0.94,3.97,2.81,1.16,40.95,203.52,76.94
2023-04-03 09:30:00,199.91,202.69,195.57,196.95,55216442,0.43,3.26,2.90,0.36,38.16,202.21,48.15
2023-04-03 10:30:00,196.93,197.44,193.83,194.67,28482679,0.32,2.49,2.81,-0.33,36.03,200.70,44.29
2023-04-03 11:30:00,194.69,196.04,193.84,195.56,19351553,0.35,1.92,2.64,-0.71,34.05,199.67,46.11
2023-04-03 12:30:00,195.56,195.64,193.15,193.23,16327757,0.22,1.27,2.36,-1.09,32.41,198.38,42.22
2023-04-03 13:30:00,193.23,193.72,192.20,193.42,18559478,0.23,0.76,2.04,-1.28,31.15,197.39,42.65
2023-04-03 14:30:00,193.44,194.80,193.15,194.35,17091141,0.27,0.43,1.72,-1.29,29.59,196.78,44.79
2023-04-03 15:30:00,194.35,195.29,194.16,194.70,11000765,0.30,0.19,1.42,-1.22,27.95,196.37,45.61
2023-04-04 09:30:00,197.32,198.74,192.80,193.72,41813950,0.26,-0.07,1.12,-1.19,26.62,195.84,43.65
2023-04-04 10:30:00,193.73,194.06,190.59,191.23,22161294,0.16,-0.48,0.80,-1.28,24.78,194.92,39.06
2023-04-04 11:30:00,191.20,192.29,190.69,191.64,15602779,0.20,-0.76,0.49,-1.25,23.08,194.26,40.17
2023-04-04 12:30:00,191.64,192.49,191.20,192.16,12196915,0.24,-0.93,0.20,-1.13,21.44,193.84,41.63
2023-04-04 13:30:00,192.13,192.72,191.20,191.26,11485289,0.22,-1.12,-0.06,-1.06,20.00,193.32,39.82
2023-04-04 14:30:00,191.25,191.67,190.32,191.04,12539329,0.23,-1.28,-0.31,-0.97,18.82,192.87,39.37
2023-04-04 15:30:00,191.05,192.68,190.85,192.68,8278430,0.32,-1.26,-0.50,-0.76,17.63,192.83,44.42
2023-04-05 09:30:00,190.51,190.68,187.08,187.30,33844946,0.13,-1.65,-0.73,-0.93,17.53,191.72,34.33
2023-04-05 10:30:00,187.31,187.91,183.76,184.79,27902805,0.08,-2.15,-1.01,-1.14,18.31,190.34,30.80
2023-04-05 11:30:00,184.80,185.41,183.77,184.76,14913488,0.12,-2.51,-1.31,-1.20,19.04,189.22,30.76
2023-04-05 12:30:00,184.77,186.34,184.42,185.72,14499979,0.18,-2.69,-1.59,-1.10,19.30,188.52,33.77
2023-04-05 13:30:00,185.73,187.02,185.40,185.66,14193481,0.18,-2.81,-1.83,-0.97,19.23,187.95,33.67
2023-04-05 14:30:00,185.66,186.59,184.82,185.40,14687155,0.14,-2.88,-2.04,-0.84,19.36,187.44,33.23
2023-04-05 15:30:00,185.40,186.33,185.15,185.50,10699738,0.17,-2.91,-2.21,-0.69,19.47,187.05,33.58
2023-04-06 09:30:00,183.08,184.78,179.74,183.86,41673928,0.11,-3.02,-2.38,-0.64,20.98,186.41,30.59
2023-04-06 10:30:00,183.87,185.10,182.73,183.56,20071970,0.13,-3.10,-2.52,-0.58,22.23,185.84,30.07
2023-04-06 11:30:00,183.57,186.00,183.20,184.88,15880410,0.24,-3.02,-2.62,-0.40,22.94,185.65,35.35
2023-04-06 12:30:00,184.90,186.39,184.87,185.34,13756361,0.30,-2.89,-2.67,-0.21,23.40,185.59,37.12
2023-04-06 13:30:00,185.35,186.05,184.90,185.95,10324801,0.35,-2.70,-2.68,-0.02,23.83,185.66,39.48
2023-04-06 14:30:00,185.95,186.15,184.40,185.04,12387660,0.31,-2.60,-2.66,0.06,24.39,185.54,37.22
2023-04-06 15:30:00,185.04,185.39,184.83,185.07,7424821,0.33,-2.48,-2.63,0.14,24.90,185.44,37.35
2023-04-10 09:30:00,179.94,180.68,176.11,177.92,39320427,-0.11,-2.94,-2.69,-0.25,27.21,183.94,24.54
2023-04-10 10:30:00,177.90,180.98,177.85,180.97,21383258,0.15,-3.02,-2.75,-0.26,29.21,183.34,34.82
2023-04-10 11:30:00,180.97,182.50,179.56,181.27,23036390,0.19,-3.02,-2.81,-0.21,30.28,182.93,35.74
2023-04-10 12:30:00,181.28,183.74,181.07,183.55,18139914,0.38,-2.81,-2.81,0.00,30.69,183.05,42.44
2023-04-10 13:30:00,183.54,185.09,182.82,184.64,16550515,0.50,-2.52,-2.75,0.23,30.45,183.37,45.37
2023-04-10 14:30:00,184.65,185.10,183.98,184.26,14762543,0.50,-2.30,-2.66,0.36,30.23,183.55,44.52
2023-04-10 15:30:00,184.27,184.71,184.05,184.51,7229512,0.55,-2.08,-2.54,0.47,30.02,183.74,45.25
2023-04-11 09:30:00,186.37,188.29,185.65,186.86,34214973,0.83,-1.69,-2.37,0.68,28.25,184.36,51.66
2023-04-11 10:30:00,186.90,189.19,186.21,188.52,21635260,0.96,-1.24,-2.15,0.91,26.26,185.20,55.62
2023-04-11 11:30:00,188.53,188.90,186.46,187.28,15374284,0.80,-0.97,-1.91,0.94,24.42,185.61,52.19
2023-04-11 12:30:00,187.29,188.02,186.19,187.86,11862282,0.84,-0.70,-1.67,0.97,22.82,186.06,53.62
2023-04-11 13:30:00,187.87,188.62,187.26,188.36,11629524,0.86,-0.44,-1.42,0.98,21.31,186.52,54.89
2023-04-11 14:30:00,188.38,188.48,187.43,188.28,10322746,0.82,-0.24,-1.19,0.95,19.90,186.87,54.65
2023-04-11 15:30:00,188.29,188.33,186.56,186.80,8867499,0.67,-0.20,-0.99,0.79,18.77,186.86,49.98
2023-04-12 09:30:00,190.74,191.58,186.85,187.87,38441267,0.74,-0.08,-0.81,0.73,18.51,187.06,53.09
2023-04-12 10:30:00,187.88,188.15,182.17,183.26,28517031,0.32,-0.35,-0.72,0.37,17.94,186.30,41.20
2023-04-12 11:30:00,183.26,185.00,181.89,184.60,21417952,0.45,-0.45,-0.66,0.21,17.50,185.96,45.06
2023-04-12 12:30:00,184.63,185.00,183.42,183.73,13562232,0.38,-0.60,-0.65,0.05,17.09,185.52,43.09
2023-04-12 13:30:00,183.73,184.03,181.33,181.59,16802224,0.21,-0.87,-0.69,-0.18,17.39,184.73,38.59
2023-04-12 14:30:00,181.58,182.15,180.32,180.89,17586209,0.18,-1.14,-0.78,-0.35,17.98,183.96,37.24
2023-04-12 15:30:00,180.91,181.69,180.31,180.55,10721049,0.11,-1.36,-0.90,-0.46,18.53,183.28,36.56
2023-04-13 09:30:00,182.96,185.24,180.94,184.55,34155506,0.46,-1.20,-0.96,-0.24,17.43,183.53,48.42
2023-04-13 10:30:00,184.56,186.17,183.70,186.03,19109094,0.58,-0.94,-0.95,0.02,16.32,184.03,51.99
2023-04-13 11:30:00,186.01,186.15,184.46,185.90,15299644,0.56,-0.73,-0.91,0.18,15.28,184.41,51.65
2023-04-13 12:30:00,185.91,185.99,184.42,184.68,11395862,0.43,-0.66,-0.86,0.20,14.31,184.46,48.47
2023-04-13 13:30:00,184.68,186.50,184.56,185.99,12313629,0.56,-0.50,-0.79,0.29,13.63,184.77,51.90
2023-04-13 14:30:00,185.97,186.25,185.39,186.02,11024523,0.56,-0.36,-0.70,0.34,12.99,185.02,51.98
2023-04-13 15:30:00,186.02,186.30,185.65,185.92,6445683,0.55,-0.25,-0.61,0.36,12.43,185.20,51.67
2023-04-14 09:30:00,183.95,186.28,182.20,183.91,29178509,0.36,-0.33,-0.56,0.23,12.77,184.94,45.86
2023-04-14 10:30:00,183.88,184.75,183.06,183.55,13401967,0.34,-0.41,-0.53,0.11,13.08,184.66,44.88
