datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-09-29 10:10:00,439.33,441.19,438.28,439.09,916169,0.75,2.30,1.76,0.54,33.09,438.26,64.97
2023-09-29 10:15:00,439.04,439.58,438.58,439.36,529497,0.74,2.27,1.86,0.41,34.06,438.48,65.67
2023-09-29 10:20:00,439.43,439.50,437.19,437.25,730991,0.60,2.06,1.90,0.16,33.84,438.24,56.22
2023-09-29 10:25:00,437.23,438.32,437.10,437.74,550572,0.62,1.91,1.90,0.00,33.56,438.14,57.74
2023-09-29 10:30:00,437.79,439.38,437.71,438.58,505264,0.65,1.83,1.89,-0.05,33.74,438.23,60.30
2023-09-29 10:35:00,438.60,439.94,438.22,439.60,567010,0.69,1.84,1.88,-0.04,34.11,438.50,63.18
2023-09-29 10:40:00,439.62,440.07,439.00,439.68,416163,0.68,1.83,1.87,-0.04,34.51,438.74,63.41
2023-09-29 10:45:00,439.69,440.25,439.30,439.74,584698,0.66,1.80,1.85,-0.05,34.96,438.94,63.59
2023-09-29 10:50:00,439.65,440.37,439.06,440.02,425904,0.66,1.78,1.84,-0.06,35.13,439.16,64.48
2023-09-29 10:55:00,440.02,440.02,438.50,438.90,437508,0.55,1.66,1.80,-0.15,34.74,439.10,58.38
2023-09-29 11:00:00,438.86,439.51,438.81,439.11,372907,0.54,1.56,1.75,-0.20,34.38,439.11,59.16
2023-09-29 11:05:00,439.02,440.04,438.69,439.70,370662,0.64,1.51,1.71,-0.20,34.34,439.22,61.33
2023-09-29 11:10:00,439.69,439.80,438.74,438.80,325428,0.39,1.38,1.64,-0.26,34.30,439.14,56.40
2023-09-29 11:15:00,438.84,438.89,437.92,438.54,435854,0.30,1.25,1.56,-0.32,33.36,439.02,55.01
2023-09-29 11:20:00,438.54,440.01,438.43,439.59,487752,0.60,1.21,1.49,-0.28,33.17,439.13,59.34
2023-09-29 11:25:00,439.59,439.71,437.98,438.10,404754,0.18,1.05,1.40,-0.35,32.54,438.93,51.73
2023-09-29 11:30:00,438.08,438.38,437.22,437.60,369730,0.05,0.87,1.30,-0.43,31.21,438.66,49.44
2023-09-29 11:35:00,437.58,438.16,437.10,437.62,439408,0.11,0.72,1.18,-0.46,29.86,438.45,49.53
2023-09-29 11:40:00,437.61,438.20,437.10,437.47,313532,0.12,0.59,1.06,-0.48,28.63,438.26,48.78
2023-09-29 11:45:00,437.50,437.85,436.68,436.92,872802,0.03,0.43,0.94,-0.51,27.07,437.99,46.03
2023-09-29 11:50:00,437.02,437.72,436.27,437.15,433619,0.14,0.32,0.81,-0.49,25.20,437.82,47.37
2023-09-29 11:55:00,437.16,437.76,436.84,437.35,296642,0.22,0.24,0.70,-0.45,23.51,437.73,48.56
2023-09-29 12:00:00,437.32,437.64,436.85,437.55,242730,0.26,0.20,0.60,-0.40,21.94,437.69,49.79
2023-09-29 12:05:00,437.44,438.09,437.07,437.39,325134,0.23,0.15,0.51,-0.36,20.96,437.63,48.82
2023-09-29 12:10:00,437.33,437.73,436.31,436.60,324676,0.09,0.05,0.42,-0.37,19.72,437.43,44.06
2023-09-29 12:15:00,436.59,437.23,436.24,437.09,275504,0.23,0.00,0.33,-0.33,18.64,437.36,47.48
2023-09-29 12:20:00,437.06,437.95,436.90,437.57,285599,0.36,0.01,0.27,-0.26,17.78,437.40,50.62
2023-09-29 12:25:00,437.48,437.77,436.90,437.19,168514,0.29,-0.02,0.21,-0.23,16.97,437.36,48.15
2023-09-29 12:30:00,437.18,437.68,436.66,437.22,220616,0.32,-0.04,0.16,-0.20,15.93,437.33,48.36
2023-09-29 12:35:00,437.24,437.55,436.63,437.06,187275,0.29,-0.06,0.12,-0.18,14.91,437.28,47.24
2023-09-29 12:40:00,437.02,437.45,436.46,436.58,189007,0.19,-0.12,0.07,-0.19,13.94,437.14,43.95
2023-09-29 12:45:00,436.67,437.27,435.44,435.89,395984,0.01,-0.22,0.01,-0.23,14.23,436.89,39.67
2023-09-29 12:50:00,435.93,436.20,435.44,435.48,306587,-0.04,-0.33,-0.06,-0.27,14.50,436.61,37.35
2023-09-29 12:55:00,435.57,436.22,435.46,435.77,239786,0.10,-0.39,-0.12,-0.26,14.71,436.44,40.02
2023-09-29 13:00:00,435.70,435.70,434.64,435.13,473664,-0.08,-0.48,-0.19,-0.29,15.76,436.18,36.33
2023-09-29 13:05:00,435.09,435.09,434.04,434.64,363955,-0.11,-0.59,-0.27,-0.31,17.25,435.87,33.76
2023-09-29 13:10:00,434.58,435.10,434.30,434.66,330381,-0.01,-0.66,-0.35,-0.31,18.62,435.63,33.97
2023-09-29 13:15:00,434.63,434.67,433.93,434.42,367430,0.01,-0.73,-0.43,-0.30,20.20,435.39,32.66
2023-09-29 13:20:00,434.40,435.20,434.25,434.75,342080,0.14,-0.75,-0.49,-0.26,20.71,435.26,36.29
2023-09-29 13:25:00,434.71,435.51,434.69,435.42,352778,0.31,-0.70,-0.53,-0.17,20.68,435.29,43.01
2023-09-29 13:30:00,435.36,436.03,434.70,435.03,358319,0.25,-0.69,-0.56,-0.13,19.86,435.24,40.34
2023-09-29 13:35:00,435.05,435.48,434.80,435.00,202516,0.27,-0.67,-0.59,-0.09,19.10,435.19,40.14
