datetime,open,high,low,close,volume,percent_b,atr,macd,macd_signal,macd_hist,adx,sma,ema,rsi,%K,%D,vpt,day,hour,open change,high change,low change,close change,price movement,price range,price trend,open trend,high trend,low trend,close trend,volume trend
2024-01-10 12:02:00,153.39,153.4,153.31,153.37,54713,0.6616716840037169,0.0914,0.0469,0.0406,0.0062,17.8412,153.3856,153.3691,55.8295,73.5294,81.3725,-52729.8332,2,12,-0.0001,-0.0003,-0.0005,-0.0002,-0.02,0.09,0,0,0,0,0,0
2024-01-10 12:03:00,153.36,153.42,153.35,153.4,36554,0.7535477912058182,0.0899,0.0469,0.0419,0.005,17.2986,153.3878,153.3753,58.1597,82.3529,79.4118,-52722.683,2,12,-0.0002,0.0001,0.0003,0.0002,0.04,0.07,1,0,1,1,1,0
2024-01-10 12:04:00,153.4,153.4,153.32,153.33,49165,0.4759923304100373,0.0892,0.0408,0.0417,-0.0009,16.366,153.3822,153.3662,51.3522,61.7647,72.549,-52745.1182,2,12,0.0003,-0.0001,-0.0002,-0.0005,-0.07,0.08,0,1,0,0,0,1
2024-01-10 12:05:00,153.33,153.36,153.3,153.35,26993,0.5539205869969859,0.0871,0.0371,0.0408,-0.0036,15.2198,153.3767,153.363,53.0434,67.6471,70.5882,-52741.5973,2,12,-0.0005,-0.0003,-0.0001,0.0001,0.02,0.06,1,0,0,0,1,0
2024-01-10 12:06:00,153.35,153.36,153.26,153.29,41696,0.3226389885724831,0.088,0.0291,0.0384,-0.0094,14.647,153.3644,153.3484,47.6875,32.0,53.8039,-52757.9113,2,12,0.0001,0.0,-0.0003,-0.0004,-0.06,0.1,0,1,0,0,0,1
2024-01-10 12:07:00,153.3,153.45,153.3,153.41,53851,0.7678413951504848,0.0932,0.032,0.0371,-0.0052,14.2635,153.37,153.3607,57.032,75.0,58.2157,-52715.7552,2,12,-0.0003,0.0006,0.0003,0.0008,0.11,0.15,1,0,1,1,1,1
2024-01-10 12:08:00,153.41,153.45,153.38,153.43,37414,0.8154280659919014,0.0915,0.0355,0.0368,-0.0013,13.9074,153.3778,153.3746,58.3668,85.0,64.0,-52710.8775,2,12,0.0007,0.0,0.0005,0.0001,0.02,0.07,1,1,0,1,1,0
2024-01-10 12:09:00,153.43,153.53,153.43,153.52,75836,1.0704199185893755,0.0921,0.045,0.0385,0.0066,14.4631,153.3889,153.4036,63.8145,96.2963,85.4321,-52666.3931,2,12,0.0001,0.0005,0.0003,0.0006,0.09,0.1,1,1,1,1,1,1
2024-01-10 12:10:00,153.53,153.54,153.47,153.53,109095,1.017239263482558,0.0905,0.0528,0.0413,0.0115,15.0802,153.4033,153.4289,64.3723,96.4286,92.575,-52659.2869,2,12,0.0007,0.0001,0.0003,0.0001,0.0,0.07,0,1,1,1,1,1
2024-01-10 12:11:00,153.53,153.54,153.51,153.51,44241,0.9164262016727905,0.0862,0.0567,0.0444,0.0123,15.6533,153.4189,153.4451,62.3036,89.2857,94.0035,-52665.0501,2,12,0.0,0.0,0.0003,-0.0001,-0.02,0.03,0,0,0,1,0,0
2024-01-10 12:12:00,153.51,153.6,153.51,153.58,147826,1.0912544749547268,0.0865,0.0646,0.0484,0.0162,16.7993,153.4389,153.4721,66.3764,94.1176,93.2773,-52597.6419,2,12,-0.0001,0.0004,0.0,0.0005,0.07,0.09,1,0,1,0,1,1
2024-01-10 12:13:00,153.58,153.65,153.57,153.63,85298,1.110404397178478,0.086,0.0741,0.0536,0.0206,18.3081,153.4722,153.5037,68.9564,94.8718,92.7584,-52569.872,2,12,0.0005,0.0003,0.0004,0.0003,0.05,0.08,1,1,1,1,1,0
2024-01-10 12:14:00,153.63,153.72,153.63,153.71,83635,1.1463316538325976,0.0863,0.0871,0.0603,0.0268,20.2449,153.5122,153.5449,72.5815,97.8261,95.6052,-52526.3207,2,12,0.0003,0.0005,0.0004,0.0005,0.08,0.09,1,1,1,1,1,0
2024-01-10 12:15:00,153.71,153.74,153.69,153.74,63706,1.0773569533560488,0.0837,0.0987,0.068,0.0307,22.1831,153.5622,153.584,73.8163,100.0,97.566,-52513.887,2,12,0.0005,0.0001,0.0004,0.0002,0.03,0.05,1,1,1,1,1,0
2024-01-10 12:16:00,153.74,153.75,153.7,153.74,74619,0.9880259144605757,0.0813,0.1066,0.0757,0.0309,24.054,153.5989,153.6152,73.8163,97.9592,98.5951,-52513.887,2,12,0.0002,0.0001,0.0001,0.0,0.0,0.05,0,1,1,1,0,1
2024-01-10 12:17:00,153.74,153.75,153.71,153.75,93719,0.9377160276362966,0.0784,0.1124,0.083,0.0294,25.7913,153.6344,153.6421,74.2644,100.0,99.3197,-52507.791,2,12,0.0,0.0,0.0001,0.0001,0.01,0.04,1,0,0,1,1,1
2024-01-10 12:18:00,153.74,153.84,153.67,153.82,162317,0.9753768112194556,0.0849,0.1213,0.0907,0.0306,28.013,153.6678,153.6777,77.205,96.5517,98.1703,-52433.8906,2,12,0.0,0.0006,-0.0003,0.0005,0.08,0.17,1,0,1,0,1,1
2024-01-10 12:19:00,153.82,153.84,153.76,153.79,51794,0.8798103470363096,0.0845,0.1244,0.0974,0.027,30.0761,153.6967,153.7002,73.3375,91.3793,95.977,-52443.9922,2,12,0.0005,0.0,0.0006,-0.0002,-0.03,0.08,0,1,0,1,0,0
2024-01-10 12:20:00,153.79,153.79,153.66,153.68,87060,0.6952215589715899,0.0878,0.1167,0.1013,0.0154,30.0264,153.7156,153.6961,61.2265,70.3704,86.1005,-52506.2628,2,12,-0.0002,-0.0003,-0.0007,-0.0007,-0.11,0.13,0,0,0,0,0,1
2024-01-10 12:21:00,153.68,153.71,153.62,153.71,65417,0.7170969804942782,0.088,0.1117,0.1034,0.0084,29.3313,153.73,153.6989,63.0201,71.7391,77.8296,-52493.4927,2,12,-0.0007,-0.0005,-0.0003,0.0002,0.03,0.09,1,0,0,0,1,0
2024-01-10 12:22:00,153.7,153.71,153.6,153.66,73493,0.6245410147138373,0.0895,0.1026,0.1032,-0.0007,28.3726,153.7333,153.6911,58.1887,56.0976,66.069,-52517.3991,2,12,0.0001,0.0,-0.0001,-0.0003,-0.04,0.11,0,1,0,0,0,1
2024-01-10 12:23:00,153.66,153.73,153.66,153.73,45100,0.7097365025923217,0.0881,0.0998,0.1025,-0.0027,27.7093,153.7356,153.6989,62.5208,70.2703,66.0357,-52496.8537,2,12,-0.0003,0.0001,0.0004,0.0005,0.07,0.07,1,0,1,1,1,0
2024-01-10 12:24:00,153.73,153.74,153.67,153.71,47559,0.6592156401003716,0.0868,0.0949,0.101,-0.0061,27.2085,153.7322,153.7011,60.5892,60.6061,62.3246,-52503.0411,2,12,0.0005,0.0001,0.0001,-0.0001,-0.02,0.07,0,1,1,1,0,1
2024-01-10 12:25:00,153.71,153.71,153.68,153.69,42017,0.6061401302731763,0.0828,0.0884,0.0985,-0.0101,26.7435,153.7267,153.6989,58.6382,54.5455,61.8073,-52508.5081,2,12,-0.0001,-0.0002,0.0001,-0.0001,-0.02,0.03,0,0,0,1,0,0
2024-01-10 12:26:00,153.69,153.7,153.53,153.55,85759,0.2951721627252722,0.089,0.0711,0.093,-0.0219,25.5742,153.7044,153.6691,47.1846,6.4516,40.5344,-52586.6281,2,12,-0.0001,-0.0001,-0.001,-0.0009,-0.14,0.17,0,0,0,0,0,1
2024-01-10 12:27:00,153.54,153.62,153.54,153.62,40217,0.4144965677536137,0.0884,0.0623,0.0869,-0.0245,24.4885,153.6822,153.6593,52.2109,29.0323,30.0098,-52568.2941,2,12,-0.001,-0.0005,0.0001,0.0005,0.08,0.08,1,0,0,1,1,0
2024-01-10 12:28:00,153.6,153.64,153.6,153.61,37340,0.3486904539568951,0.0849,0.054,0.0803,-0.0263,23.1784,153.6622,153.6494,51.4575,25.8065,20.4301,-52570.7247,2,12,0.0004,0.0001,0.0004,-0.0001,0.01,0.04,1,1,1,1,0,0
2024-01-10 12:29:00,153.61,153.64,153.61,153.64,31485,0.4098980302467195,0.081,0.0492,0.0741,-0.0249,21.962,153.6578,153.6475,53.6197,35.4839,30.1075,-52564.5757,2,12,0.0001,0.0,0.0001,0.0002,0.03,0.03,1,1,0,1,1,0
2024-01-10 12:30:00,153.64,153.73,153.63,153.7,55615,0.5698596103708455,0.0823,0.0497,0.0692,-0.0195,21.2168,153.6567,153.658,57.6798,54.8387,38.7097,-52542.8568,2,12,0.0002,0.0006,0.0001,0.0004,0.06,0.1,1,1,1,1,1,1
2024-01-10 12:31:00,153.7,153.74,153.68,153.72,94315,0.6159355243278419,0.0807,0.0511,0.0656,-0.0145,20.6482,153.6633,153.6704,58.9692,61.2903,50.5376,-52530.5842,2,12,0.0004,0.0001,0.0003,0.0001,0.02,0.06,1,1,1,1,1,1
2024-01-10 12:32:00,153.73,153.74,153.71,153.71,50967,0.5584908011858364,0.0771,0.0508,0.0626,-0.0118,20.1203,153.6611,153.6783,58.0174,58.0645,58.0645,-52533.8997,2,12,0.0002,0.0,0.0002,-0.0001,-0.02,0.03,0,1,0,1,0,0
2024-01-10 12:33:00,153.72,153.73,153.7,153.72,41911,0.5826663617023526,0.0738,0.0508,0.0602,-0.0095,19.4509,153.6622,153.6867,58.7347,73.0769,64.1439,-52531.1731,2,12,-0.0001,-0.0001,-0.0001,0.0001,0.0,0.03,0,0,0,0,1,0
2024-01-10 12:34:00,153.73,153.75,153.72,153.72,23230,0.5806458372816117,0.0706,0.0502,0.0582,-0.008,19.1196,153.6656,153.6933,58.7347,86.3636,72.5017,-52531.1731,2,12,0.0001,0.0001,0.0001,0.0,-0.01,0.03,0,1,1,1,0,0
2024-01-10 12:35:00,153.73,153.75,153.69,153.73,34584,0.6244770229806471,0.0699,0.05,0.0566,-0.0066,18.25,153.6856,153.7007,59.5365,90.9091,83.4499,-52528.9233,2,12,0.0,0.0,-0.0002,0.0001,0.0,0.06,0,0,0,0,1,1
2024-01-10 12:36:00,153.72,153.81,153.72,153.79,70730,0.847964042505029,0.0713,0.054,0.0561,-0.0021,18.2974,153.7044,153.7185,64.0498,92.8571,90.0433,-52501.3178,2,12,-0.0001,0.0004,0.0002,0.0004,0.07,0.09,1,0,1,1,1,1
2024-01-10 12:37:00,153.79,153.82,153.77,153.8,47099,0.8621379478468144,0.0698,0.0574,0.0563,0.001,18.4721,153.7256,153.7348,64.7555,93.1034,92.2899,-52498.2552,2,12,0.0005,0.0001,0.0003,0.0001,0.01,0.05,1,1,1,1,1,0
2024-01-10 12:38:00,153.8,153.82,153.79,153.82,51007,0.9383574600417588,0.0669,0.0609,0.0572,0.0037,18.6344,153.7456,153.7519,66.185,100.0,95.3202,-52491.6223,2,12,0.0001,0.0,0.0001,0.0001,0.02,0.03,1,1,0,1,1,1
2024-01-10 12:39:00,153.82,153.86,153.82,153.83,84581,0.9476676382513105,0.065,0.0638,0.0586,0.0053,19.3215,153.76,153.7675,66.9077,90.9091,94.6708,-52486.1236,2,12,0.0001,0.0003,0.0002,0.0001,0.01,0.04,1,1,1,1,1,1
