datetime,open,high,low,close,volume,adx,atr,sma,ema,rsi,macd_signal,percent_b,sma_(1_change),sma_(1_change(%)),sma_(1_trend),sma_(2_change),sma_(2_change(%)),sma_(2_trend),sma_(3_change),sma_(3_change(%)),sma_(3_trend),sma_(4_change),sma_(4_change(%)),sma_(4_trend),sma_(5_change),sma_(5_change(%)),sma_(5_trend),sma_(6_change),sma_(6_change(%)),sma_(6_trend),sma_(7_change),sma_(7_change(%)),sma_(7_trend),sma_(8_change),sma_(8_change(%)),sma_(8_trend),sma_(9_change),sma_(9_change(%)),sma_(9_trend),ema_(1_change),ema_(1_change(%)),ema_(1_trend),ema_(2_change),ema_(2_change(%)),ema_(2_trend),ema_(3_change),ema_(3_change(%)),ema_(3_trend),ema_(4_change),ema_(4_change(%)),ema_(4_trend),ema_(5_change),ema_(5_change(%)),ema_(5_trend),ema_(6_change),ema_(6_change(%)),ema_(6_trend),ema_(7_change),ema_(7_change(%)),ema_(7_trend),ema_(8_change),ema_(8_change(%)),ema_(8_trend),ema_(9_change),ema_(9_change(%)),ema_(9_trend),day,hour
2024-11-07 12:27:00,227.17,227.19,227.15,227.16,37324,35.83,0.1,227.24,227.21,52.6,0.11,0.33,0.0,0.0,0,-0.01,-0.0044,0,-0.02,-0.0088,0,-0.03,-0.0132,0,-0.02,-0.0088,0,-0.02,-0.0088,0,-0.01,-0.0044,0,-0.01,-0.0044,0,0.01,0.0044,1,-0.01,-0.0044,0,-0.02,-0.0088,0,-0.04,-0.0176,0,-0.06,-0.0264,0,-0.05,-0.022,0,-0.03,-0.0132,0,-0.01,-0.0044,0,-0.01,-0.0044,0,0.0,0.0,0,3,12
2024-11-07 12:28:00,227.17,227.17,227.1,227.15,35254,33.31,0.09,227.22,227.2,51.79,0.1,0.25,-0.02,-0.0088,0,-0.02,-0.0088,0,-0.03,-0.0132,0,-0.04,-0.0176,0,-0.05,-0.022,0,-0.04,-0.0176,0,-0.04,-0.0176,0,-0.03,-0.0132,0,-0.03,-0.0132,0,-0.01,-0.0044,0,-0.02,-0.0088,0,-0.03,-0.0132,0,-0.05,-0.022,0,-0.07,-0.0308,0,-0.06,-0.0264,0,-0.04,-0.0176,0,-0.02,-0.0088,0,-0.02,-0.0088,0,3,12
2024-11-07 12:29:00,227.17,227.22,227.14,227.21,33993,31.49,0.09,227.22,227.2,56.13,0.09,0.42,0.0,0.0,0,-0.02,-0.0088,0,-0.02,-0.0088,0,-0.03,-0.0132,0,-0.04,-0.0176,0,-0.05,-0.022,0,-0.04,-0.0176,0,-0.04,-0.0176,0,-0.03,-0.0132,0,0.0,0.0,0,-0.01,-0.0044,0,-0.02,-0.0088,0,-0.03,-0.0132,0,-0.05,-0.022,0,-0.07,-0.0308,0,-0.06,-0.0264,0,-0.04,-0.0176,0,-0.02,-0.0088,0,3,12
2024-11-07 12:30:00,227.21,227.27,227.2,227.26,42047,30.36,0.09,227.22,227.21,59.4,0.09,0.6,0.0,0.0,0,0.0,0.0,0,-0.02,-0.0088,0,-0.02,-0.0088,0,-0.03,-0.0132,0,-0.04,-0.0176,0,-0.05,-0.022,0,-0.04,-0.0176,0,-0.04,-0.0176,0,0.01,0.0044,1,0.01,0.0044,1,0.0,0.0,0,-0.01,-0.0044,0,-0.02,-0.0088,0,-0.04,-0.0176,0,-0.06,-0.0264,0,-0.05,-0.022,0,-0.03,-0.0132,0,3,12
2024-11-07 12:31:00,227.25,227.31,227.2,227.29,65707,29.71,0.09,227.21,227.23,61.27,0.08,0.7,-0.01,-0.0044,0,-0.01,-0.0044,0,-0.01,-0.0044,0,-0.03,-0.0132,0,-0.03,-0.0132,0,-0.04,-0.0176,0,-0.05,-0.022,0,-0.06,-0.0264,0,-0.05,-0.022,0,0.02,0.0088,1,0.03,0.0132,1,0.03,0.0132,1,0.02,0.0088,1,0.01,0.0044,1,0.0,0.0,0,-0.02,-0.0088,0,-0.04,-0.0176,0,-0.03,-0.0132,0,3,12
2024-11-07 12:32:00,227.28,227.29,227.25,227.27,28373,29.11,0.09,227.2,227.24,59.31,0.08,0.61,-0.01,-0.0044,0,-0.02,-0.0088,0,-0.02,-0.0088,0,-0.02,-0.0088,0,-0.04,-0.0176,0,-0.04,-0.0176,0,-0.05,-0.022,0,-0.06,-0.0264,0,-0.07,-0.0308,0,0.01,0.0044,1,0.03,0.0132,1,0.04,0.0176,1,0.04,0.0176,1,0.03,0.0132,1,0.02,0.0088,1,0.01,0.0044,1,-0.01,-0.0044,0,-0.03,-0.0132,0,3,12
2024-11-07 12:33:00,227.26,227.27,227.22,227.22,48607,28.07,0.09,227.21,227.23,54.61,0.07,0.42,0.01,0.0044,1,0.0,0.0,0,-0.01,-0.0044,0,-0.01,-0.0044,0,-0.01,-0.0044,0,-0.03,-0.0132,0,-0.03,-0.0132,0,-0.04,-0.0176,0,-0.05,-0.022,0,-0.01,-0.0044,0,0.0,0.0,0,0.02,0.0088,1,0.03,0.0132,1,0.03,0.0132,1,0.02,0.0088,1,0.01,0.0044,1,0.0,0.0,0,-0.02,-0.0088,0,3,12
2024-11-07 12:34:00,227.24,227.28,227.22,227.25,31586,27.22,0.08,227.22,227.24,56.82,0.07,0.56,0.01,0.0044,1,0.02,0.0088,1,0.01,0.0044,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,-0.02,-0.0088,0,-0.02,-0.0088,0,-0.03,-0.0132,0,0.01,0.0044,1,0.0,0.0,0,0.01,0.0044,1,0.03,0.0132,1,0.04,0.0176,1,0.04,0.0176,1,0.03,0.0132,1,0.02,0.0088,1,0.01,0.0044,1,3,12
2024-11-07 12:35:00,227.25,227.28,227.15,227.23,59119,25.38,0.09,227.23,227.23,54.9,0.07,0.48,0.01,0.0044,1,0.02,0.0088,1,0.03,0.0132,1,0.02,0.0088,1,0.01,0.0044,1,0.01,0.0044,1,0.01,0.0044,1,-0.01,-0.0044,0,-0.01,-0.0044,0,-0.01,-0.0044,0,0.0,0.0,0,-0.01,-0.0044,0,0.0,0.0,0,0.02,0.0088,1,0.03,0.0132,1,0.03,0.0132,1,0.02,0.0088,1,0.01,0.0044,1,3,12
2024-11-07 12:36:00,227.24,227.24,227.12,227.18,53037,23.87,0.09,227.23,227.22,50.32,0.06,0.27,0.0,0.0,0,0.01,0.0044,1,0.02,0.0088,1,0.03,0.0132,1,0.02,0.0088,1,0.01,0.0044,1,0.01,0.0044,1,0.01,0.0044,1,-0.01,-0.0044,0,-0.01,-0.0044,0,-0.02,-0.0088,0,-0.01,-0.0044,0,-0.02,-0.0088,0,-0.01,-0.0044,0,0.01,0.0044,1,0.02,0.0088,1,0.02,0.0088,1,0.01,0.0044,1,3,12
