datetime,open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-10-20 14:50:00,327.20,327.45,327.05,327.40,103699,328.53,-1.33,0,328.71,-1.26,0,328.24,-1.19,0,328.33,-0.93,0,100737.0,2962.0,1,0.31,-0.16,-0.07,-0.09,16.58,327.38,47.12
2023-10-20 14:55:00,327.40,327.71,327.12,327.24,109069,328.37,-0.97,0,328.64,-0.93,0,328.14,-1.02,0,328.57,-1.33,0,120879.0,-11810.0,0,0.26,-0.16,-0.09,-0.07,15.73,327.35,45.18
2023-10-20 15:00:00,327.23,327.82,327.13,327.52,137026,328.58,-1.35,0,328.62,-0.8,0,327.81,-0.68,0,327.84,-0.32,0,152926.0,-15900.0,0,0.41,-0.14,-0.10,-0.04,15.20,327.39,49.10
2023-10-20 15:05:00,327.54,327.74,327.21,327.22,159419,327.82,-0.28,0,327.92,-0.18,0,327.08,0.13,1,327.27,-0.05,0,162136.0,-2717.0,0,0.29,-0.15,-0.11,-0.04,14.70,327.35,45.39
2023-10-20 15:10:00,327.24,327.52,327.11,327.46,157104,327.25,-0.01,0,327.41,0.11,1,327.15,-0.04,0,327.22,0.24,1,98515.0,58589.0,0,0.42,-0.13,-0.11,-0.02,13.94,327.37,48.73
2023-10-20 15:15:00,327.45,327.97,327.21,327.91,195267,327.19,0.26,1,327.27,0.7,1,326.9,0.31,1,327.11,0.8,1,108362.0,86905.0,1,0.65,-0.08,-0.11,0.02,14.31,327.48,54.33
2023-10-20 15:20:00,327.89,327.89,326.98,327.10,151307,327.08,0.81,1,327.34,0.55,1,326.82,0.16,1,327.27,-0.17,0,104486.0,46821.0,1,0.26,-0.11,-0.11,-0.00,13.99,327.40,44.81
2023-10-20 15:25:00,327.09,327.21,326.80,327.16,170343,327.26,-0.17,0,327.55,-0.34,0,326.86,-0.06,0,327.01,0.15,1,129326.0,41017.0,1,0.31,-0.12,-0.11,-0.01,13.20,327.36,45.57
2023-10-20 15:30:00,327.17,327.52,327.11,327.35,178017,327.01,0.16,1,327.21,0.31,1,326.76,0.35,1,327.17,0.18,1,86984.0,91033.0,0,0.42,-0.12,-0.11,-0.00,13.18,327.35,48.03
2023-10-20 15:35:00,327.35,327.69,327.20,327.47,176331,327.17,0.18,1,327.33,0.36,1,326.98,0.22,1,327.19,0.28,1,117387.0,58944.0,1,0.52,-0.10,-0.11,0.01,13.53,327.38,49.57
2023-10-20 15:40:00,327.47,327.50,326.63,326.76,239632,327.2,0.27,1,327.45,0.05,1,327.05,-0.42,0,327.4,-0.64,0,103699.0,135933.0,1,0.10,-0.14,-0.12,-0.03,12.73,327.25,41.68
2023-10-20 15:45:00,326.76,327.10,326.53,327.09,346056,327.4,-0.64,0,327.71,-0.61,0,327.12,-0.59,0,327.24,-0.15,0,109069.0,236987.0,1,0.31,-0.15,-0.12,-0.03,12.20,327.22,45.98
2023-10-20 15:50:00,327.09,327.09,326.40,326.51,628731,327.23,-0.14,0,327.82,-0.73,0,327.13,-0.73,0,327.52,-1.01,0,137026.0,491705.0,1,-0.14,-0.20,-0.14,-0.06,12.00,327.08,40.35
2023-10-20 15:55:00,326.53,327.08,326.37,326.67,1645816,327.54,-1.01,0,327.74,-0.66,0,327.21,-0.84,0,327.22,-0.55,0,159419.0,1486397.0,1,0.07,-0.22,-0.15,-0.07,11.88,327.00,42.47
2023-10-23 09:30:00,326.75,329.13,326.33,326.60,1759868,327.24,-0.49,0,327.52,1.61,1,327.11,-0.78,0,327.46,-0.86,0,157104.0,1602764.0,1,0.07,-0.24,-0.17,-0.07,13.71,326.92,41.71
2023-10-23 09:35:00,326.60,326.61,325.28,325.63,548218,327.45,-0.85,0,327.97,-1.36,0,327.21,-1.93,0,327.91,-2.28,0,195267.0,352951.0,1,-0.28,-0.33,-0.20,-0.13,13.53,326.66,33.60
2023-10-23 09:40:00,325.62,325.92,324.88,325.11,445590,327.89,-2.27,0,327.89,-1.97,0,326.98,-2.1,0,327.1,-1.99,0,151307.0,294283.0,1,-0.24,-0.44,-0.25,-0.19,12.76,326.35,30.20
2023-10-23 09:45:00,325.08,327.21,324.39,326.80,552107,327.09,-2.01,0,327.21,0.0,0,326.8,-2.41,0,327.16,-0.36,0,170343.0,381764.0,1,0.43,-0.39,-0.28,-0.11,13.46,326.44,48.48
2023-10-23 09:50:00,326.83,327.57,326.27,327.06,451799,327.17,-0.34,0,327.52,0.05,1,327.11,-0.84,0,327.35,-0.29,0,178017.0,273782.0,1,0.54,-0.32,-0.29,-0.03,14.43,326.56,50.62
2023-10-23 09:55:00,327.04,328.11,326.51,327.59,356128,327.35,-0.31,0,327.69,0.42,1,327.2,-0.69,0,327.47,0.12,1,176331.0,179797.0,1,0.74,-0.22,-0.28,0.05,15.77,326.77,54.75
2023-10-23 10:00:00,327.58,327.58,326.59,327.33,331098,327.47,0.11,1,327.5,0.08,1,326.63,-0.04,0,326.76,0.57,1,239632.0,91466.0,1,0.64,-0.16,-0.25,0.09,17.02,326.88,52.43
2023-10-23 10:05:00,327.33,327.84,327.01,327.05,225213,326.76,0.57,1,327.1,0.74,1,326.53,0.48,1,327.09,-0.04,0,346056.0,-120843.0,0,0.53,-0.14,-0.23,0.09,18.39,326.92,50.02
2023-10-23 10:10:00,327.06,328.00,327.06,327.98,272077,327.09,-0.03,0,327.09,0.91,1,326.4,0.66,1,326.51,1.47,1,628731.0,-356654.0,0,0.87,-0.04,-0.19,0.15,19.80,327.13,57.12
2023-10-23 10:15:00,327.98,328.05,326.89,327.21,249566,326.53,1.45,1,327.08,0.97,1,326.37,0.52,1,326.67,0.54,1,1645816.0,-1396250.0,1,0.58,-0.03,-0.16,0.13,20.79,327.14,50.67
2023-10-23 10:20:00,327.21,327.60,326.81,327.56,239921,326.75,0.46,1,329.13,-1.53,0,326.33,0.48,1,326.6,0.96,1,1759868.0,-1519947.0,1,0.71,0.01,-0.12,0.14,21.55,327.23,53.27
2023-10-23 10:25:00,327.57,327.71,327.14,327.30,299207,326.6,0.97,1,326.61,1.1,1,325.28,1.86,1,325.63,1.67,1,548218.0,-249011.0,0,0.63,0.02,-0.10,0.12,22.37,327.24,51.12
2023-10-23 10:30:00,327.25,327.59,326.82,327.00,212372,325.62,1.63,1,325.92,1.67,1,324.88,1.94,1,325.11,1.89,1,445590.0,-233218.0,0,0.52,0.01,-0.08,0.08,22.48,327.19,48.67
2023-10-23 10:35:00,326.98,327.94,326.52,327.77,215201,325.08,1.9,1,327.21,0.73,1,324.39,2.13,1,326.8,0.97,1,552107.0,-336906.0,0,0.79,0.05,-0.05,0.10,22.99,327.31,54.69
