open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi,day_of_week,hour,target
345.64,345.96,345.36,345.61,114574,345.48,0.16,1,345.55,0.41,1,344.73,0.63,1,345.36,0.25,1,177548.0,-62974.0,0,0.23,-0.72,-0.75,0.03,36.62,346.22,35.20,2,15,1
345.61,346.02,345.00,345.50,156067,345.27,0.34,1,345.68,0.34,1,344.98,0.02,1,345.43,0.07,1,84203.0,71864.0,0,0.23,-0.73,-0.74,0.01,36.64,346.08,34.43,2,15,1
345.56,345.89,345.20,345.61,163483,345.53,0.03,1,346.04,-0.15,0,345.04,0.16,1,345.94,-0.33,0,102943.0,60540.0,1,0.27,-0.73,-0.74,0.01,36.66,345.98,35.88,2,15,1
345.68,346.48,345.26,346.41,249755,345.88,-0.2,0,346.7,-0.22,0,345.46,-0.2,0,346.67,-0.26,0,182395.0,67360.0,1,0.55,-0.65,-0.72,0.07,35.60,346.07,45.35,2,15,1
346.33,346.50,345.81,346.18,493298,346.7,-0.37,0,347.46,-0.96,0,346.29,-0.48,0,347.18,-1.0,0,146975.0,346323.0,1,0.49,-0.60,-0.70,0.10,34.59,346.09,43.36,2,15,1
404.74,408.95,392.79,395.51,4814930,347.18,57.56,1,347.31,61.64,1,346.73,46.06,1,347.22,48.29,1,98685.0,4716245.0,0,1.59,3.38,0.12,3.26,38.66,355.97,94.90,3,9,0
395.50,399.97,393.50,395.58,1213352,347.22,48.28,1,347.7,52.27,1,347.11,46.39,1,347.45,48.13,1,113862.0,1099490.0,1,1.25,6.46,1.39,5.08,42.44,363.89,94.90,3,9,1
395.55,399.00,392.26,396.24,827129,347.43,48.12,1,347.5,51.5,1,346.51,45.75,1,346.74,49.5,1,96362.0,730767.0,0,1.10,8.86,2.88,5.98,45.66,370.36,94.97,3,9,1
396.48,398.69,396.21,398.51,585101,346.67,49.81,1,346.75,51.94,1,345.6,50.61,1,345.67,52.84,1,106712.0,478389.0,1,1.02,10.82,4.47,6.35,48.66,375.99,95.22,3,9,1
398.68,402.40,398.01,400.73,1077567,345.69,52.99,1,346.2,56.2,1,345.3,52.71,1,345.57,55.16,1,97935.0,979632.0,0,0.97,12.40,6.05,6.35,51.49,380.94,95.45,3,9,1
400.86,402.94,399.11,402.86,720406,345.64,55.22,1,345.96,56.98,1,345.36,53.75,1,345.61,57.25,1,114574.0,605832.0,1,0.93,13.68,7.58,6.10,54.14,385.32,95.67,3,9,1
402.87,403.45,397.13,398.64,733566,345.61,57.26,1,346.02,57.43,1,345.0,52.13,1,345.5,53.14,1,156067.0,577499.0,1,0.84,14.18,8.90,5.28,56.06,387.99,86.74,3,10,0
398.56,401.06,398.40,400.95,464113,345.56,53.0,1,345.89,55.17,1,345.2,53.2,1,345.61,55.34,1,163483.0,300630.0,1,0.83,14.60,10.04,4.56,57.84,390.58,87.43,3,10,1
400.98,403.78,400.98,401.92,584152,345.68,55.3,1,346.48,57.3,1,345.26,55.72,1,346.41,55.51,1,249755.0,334397.0,1,0.80,14.84,11.00,3.84,59.57,392.85,87.72,3,10,0
402.00,404.31,401.77,402.97,460765,346.33,55.67,1,346.5,57.81,1,345.81,55.96,1,346.18,56.79,1,493298.0,-32533.0,0,0.78,14.94,11.79,3.15,61.20,394.87,88.04,3,10,0
402.90,404.00,401.20,402.05,430083,404.74,-1.84,0,408.95,-4.95,0,392.79,8.41,1,395.51,6.54,1,4814930.0,-4384847.0,0,0.75,14.77,12.38,2.39,62.53,396.31,85.92,3,10,0
402.16,403.29,399.76,400.00,363062,395.5,6.66,1,399.97,3.32,1,393.5,6.26,1,395.58,4.42,1,1213352.0,-850290.0,1,0.71,14.31,12.77,1.54,63.28,397.05,81.23,3,10,0
400.00,400.60,398.18,400.47,518208,395.55,4.45,1,399.0,1.6,1,392.26,5.92,1,396.24,4.23,1,827129.0,-308921.0,0,0.69,13.83,12.98,0.85,63.47,397.73,81.48,3,10,0
400.47,401.63,399.81,401.00,261407,396.48,3.99,1,398.69,2.94,1,396.21,3.6,1,398.51,2.49,1,585101.0,-323694.0,0,0.68,13.33,13.05,0.28,63.71,398.38,81.77,3,10,0
401.05,401.88,400.74,401.13,238567,398.68,2.37,1,402.4,-0.52,0,398.01,2.73,1,400.73,0.4,1,1077567.0,-839000.0,1,0.66,12.80,13.00,-0.20,63.95,398.93,81.85,3,10,0
401.01,401.67,399.25,399.68,304549,400.86,0.15,1,402.94,-1.27,0,399.11,0.14,1,402.86,-3.18,0,720406.0,-415857.0,0,0.62,12.12,12.83,-0.70,63.63,399.08,77.95,3,10,0
399.71,400.21,398.84,398.99,290036,402.87,-3.16,0,403.45,-3.24,0,397.13,1.71,1,398.64,0.35,1,733566.0,-443530.0,0,0.59,11.40,12.54,-1.14,63.18,399.07,76.08,3,10,0
398.99,399.55,397.71,398.60,347734,398.56,0.43,1,401.06,-1.51,0,398.4,-0.69,0,400.95,-2.35,0,464113.0,-116379.0,0,0.56,10.67,12.17,-1.49,62.34,398.97,74.97,3,10,1
398.62,399.40,398.29,399.27,167632,400.98,-2.36,0,403.78,-4.38,0,400.98,-2.69,0,401.92,-2.65,0,584152.0,-416520.0,0,0.55,10.03,11.74,-1.71,61.56,399.03,75.62,3,11,1
399.27,399.87,398.63,399.49,152208,402.0,-2.73,0,404.31,-4.44,0,401.77,-3.14,0,402.97,-3.48,0,460765.0,-308557.0,0,0.47,9.44,11.28,-1.84,60.89,399.12,75.85,3,11,1
399.58,400.50,399.19,399.27,479251,402.9,-3.32,0,404.0,-3.5,0,401.2,-2.01,0,402.05,-2.78,0,430083.0,49168.0,1,0.41,8.84,10.79,-1.95,60.36,399.15,75.11,3,11,1
399.27,399.46,397.42,397.85,284034,402.16,-2.89,0,403.29,-3.83,0,399.76,-2.34,0,400.0,-2.15,0,363062.0,-79028.0,0,0.17,8.17,10.27,-2.10,59.09,398.89,70.37,3,11,1
397.93,398.50,396.71,398.50,242574,400.0,-2.07,0,400.6,-2.1,0,398.18,-1.47,0,400.47,-1.97,0,518208.0,-275634.0,0,0.22,7.59,9.73,-2.14,57.60,398.82,71.26,3,11,1
398.44,399.90,397.72,399.45,196300,400.47,-2.03,0,401.63,-1.73,0,399.81,-2.09,0,401.0,-1.55,0,261407.0,-65107.0,0,0.37,7.13,9.21,-2.08,56.49,398.94,72.56,3,11,1
399.30,399.55,398.28,398.65,140987,401.05,-1.75,0,401.88,-2.33,0,400.74,-2.46,0,401.13,-2.48,0,238567.0,-97580.0,0,0.26,6.63,8.70,-2.07,55.45,398.88,69.72,3,11,1
398.65,399.64,398.57,399.36,162506,401.01,-2.36,0,401.67,-2.03,0,399.25,-0.68,0,399.68,-0.32,0,304549.0,-142043.0,0,0.40,6.21,8.20,-1.99,54.51,398.98,70.82,3,11,1
399.36,401.27,399.26,401.22,256147,399.71,-0.35,0,400.21,1.06,1,398.84,0.42,1,398.99,2.23,1,290036.0,-33889.0,0,0.72,5.97,7.75,-1.79,53.96,399.43,73.52,3,11,0
401.22,402.79,401.05,402.48,293683,398.99,2.23,1,399.55,3.24,1,397.71,3.34,1,398.6,3.88,1,347734.0,-54051.0,0,0.92,5.80,7.36,-1.56,53.73,400.04,75.20,3,11,0
402.42,403.12,401.61,401.61,235791,398.62,3.8,1,399.4,3.72,1,398.29,3.32,1,399.27,2.34,1,167632.0,68159.0,1,0.77,5.54,7.00,-1.46,53.57,400.35,71.80,3,11,0
401.79,402.00,400.66,400.68,120527,399.27,2.52,1,399.87,2.13,1,398.63,2.03,1,399.49,1.19,1,152208.0,-31681.0,0,0.64,5.20,6.64,-1.44,52.89,400.42,68.27,3,11,0
400.66,402.17,399.52,400.58,244408,399.58,1.08,1,400.5,1.67,1,399.19,0.33,1,399.27,1.31,1,479251.0,-234843.0,0,0.64,4.86,6.28,-1.42,51.63,400.45,67.90,3,12,0
400.67,400.98,398.52,398.77,169549,399.27,1.4,1,399.46,1.52,1,397.42,1.1,1,397.85,0.92,1,284034.0,-114485.0,0,0.27,4.40,5.91,-1.51,49.94,400.12,61.11,3,12,0
398.91,399.99,398.85,399.25,107994,397.93,0.98,1,398.5,1.49,1,396.71,2.14,1,398.5,0.75,1,242574.0,-134580.0,0,0.39,4.03,5.53,-1.50,48.37,399.94,62.19,3,12,1
399.21,400.57,398.81,400.20,116639,398.44,0.77,1,399.9,0.67,1,397.72,1.09,1,399.45,0.75,1,196300.0,-79661.0,0,0.60,3.76,5.18,-1.41,47.09,399.99,64.30,3,12,1
400.06,401.45,400.06,400.58,121514,399.3,0.76,1,399.55,1.9,1,398.28,1.78,1,398.65,1.93,1,140987.0,-19473.0,0,0.69,3.54,4.85,-1.31,46.18,400.11,65.13,3,12,1
400.59,400.76,398.77,399.31,441576,398.65,1.94,1,399.64,1.12,1,398.57,0.2,1,399.36,-0.05,0,162506.0,279070.0,1,0.41,3.23,4.53,-1.30,44.57,399.95,60.07,3,12,1
399.10,399.68,397.52,397.75,155283,399.36,-0.26,0,401.27,-1.59,0,399.26,-1.74,0,401.22,-3.47,0,256147.0,-100864.0,0,0.11,2.82,4.19,-1.36,42.40,399.51,54.46,3,12,1
397.74,398.51,397.17,398.33,146685,401.22,-3.48,0,402.79,-4.28,0,401.05,-3.88,0,402.48,-4.15,0,293683.0,-146998.0,0,0.23,2.52,3.85,-1.33,40.21,399.27,56.10,3,12,1
398.32,399.49,397.50,398.37,194887,402.42,-4.1,0,403.12,-3.63,0,401.61,-4.11,0,401.61,-3.24,0,235791.0,-40904.0,0,0.26,2.26,3.53,-1.28,38.57,399.09,56.22,3,12,1
398.40,399.32,397.50,399.14,148493,401.79,-3.39,0,402.0,-2.68,0,400.66,-3.16,0,400.68,-1.54,0,120527.0,27966.0,1,0.41,2.08,3.24,-1.16,37.05,399.10,58.50,3,12,1
399.28,400.50,398.59,399.48,216270,400.66,-1.38,0,402.17,-1.67,0,399.52,-0.93,0,400.58,-1.1,0,244408.0,-28138.0,0,0.48,1.95,2.99,-1.03,36.12,399.18,59.52,3,12,1
399.43,399.88,398.81,399.65,104608,400.67,-1.24,0,400.98,-1.1,0,398.52,0.29,1,398.77,0.88,1,169549.0,-64941.0,0,0.50,1.84,2.76,-0.91,35.26,399.27,60.05,3,12,1
399.65,400.19,399.15,399.27,184737,398.91,0.74,1,399.99,0.2,1,398.85,0.3,1,399.25,0.02,1,107994.0,76743.0,1,0.41,1.70,2.55,-0.84,34.59,399.27,58.24,3,13,1
399.48,401.66,398.95,401.11,191151,399.21,0.27,1,400.57,1.09,1,398.81,0.14,1,400.2,0.91,1,116639.0,74512.0,1,0.78,1.72,2.38,-0.66,34.55,399.64,63.91,3,13,1
401.12,402.67,401.12,402.21,193317,400.06,1.06,1,401.45,1.22,1,400.06,1.06,1,400.58,1.63,1,121514.0,71803.0,1,0.94,1.81,2.27,-0.46,34.86,400.15,66.82,3,13,1
402.26,403.86,401.43,403.59,278374,400.59,1.67,1,400.76,3.1,1,398.77,2.66,1,399.31,4.28,1,441576.0,-163202.0,0,1.07,1.96,2.21,-0.24,35.54,400.84,70.07,3,13,1
403.65,404.73,403.46,403.93,317799,399.1,4.55,1,399.68,5.05,1,397.52,5.94,1,397.75,6.18,1,155283.0,162516.0,1,1.03,2.09,2.18,-0.10,36.42,401.46,70.83,3,13,1
403.90,404.10,402.95,403.56,157847,397.74,6.16,1,398.51,5.59,1,397.17,5.78,1,398.33,5.23,1,146685.0,11162.0,1,0.95,2.13,2.17,-0.04,36.83,401.88,68.79,3,13,0
403.60,403.98,402.43,402.57,596864,398.32,5.28,1,399.49,4.49,1,397.5,4.93,1,398.37,4.2,1,194887.0,401977.0,1,0.80,2.06,2.15,-0.09,36.79,402.02,63.52,3,13,0
402.57,402.66,400.75,401.46,168902,398.4,4.17,1,399.32,3.34,1,397.5,3.25,1,399.14,2.32,1,148493.0,20409.0,1,0.64,1.90,2.10,-0.20,35.53,401.91,58.14,3,13,1
401.47,402.60,401.25,401.86,153279,399.28,2.19,1,400.5,2.1,1,398.59,2.66,1,399.48,2.38,1,216270.0,-62991.0,0,0.68,1.78,2.04,-0.26,34.37,401.90,59.46,3,13,1
401.77,402.93,401.72,402.28,151949,399.43,2.34,1,399.88,3.05,1,398.81,2.91,1,399.65,2.63,1,104608.0,47341.0,1,0.71,1.70,1.97,-0.27,33.45,401.97,60.87,3,13,0
402.30,402.88,402.09,402.14,90450,399.65,2.65,1,400.19,2.69,1,399.15,2.94,1,399.27,2.87,1,184737.0,-94287.0,1,0.68,1.61,1.90,-0.29,32.60,402.01,60.10,3,13,1
402.21,403.14,402.12,402.79,105138,399.48,2.73,1,401.66,1.48,1,398.95,3.17,1,401.11,1.68,1,191151.0,-86013.0,0,0.74,1.57,1.83,-0.26,31.94,402.16,62.43,3,13,0
402.74,404.75,402.56,403.95,244011,401.12,1.62,1,402.67,2.08,1,401.12,1.44,1,402.21,1.74,1,193317.0,50694.0,1,0.85,1.61,1.79,-0.18,32.11,402.52,66.20,3,14,0
404.06,404.50,403.64,404.17,131716,402.26,1.8,1,403.86,0.64,1,401.43,2.21,1,403.59,0.58,1,278374.0,-146658.0,0,0.84,1.64,1.76,-0.11,32.26,402.85,66.87,3,14,0
404.24,405.10,402.89,403.33,247828,403.65,0.59,1,404.73,0.37,1,403.46,-0.57,0,403.93,-0.6,0,317799.0,-69971.0,0,0.72,1.58,1.72,-0.14,31.72,402.94,61.76,3,14,0
403.31,403.50,402.65,403.00,117282,403.9,-0.59,0,404.1,-0.6,0,402.95,-0.3,0,403.56,-0.56,0,157847.0,-40565.0,0,0.66,1.49,1.68,-0.18,31.01,402.96,59.85,3,14,0
403.29,405.00,403.00,404.43,270239,403.6,-0.31,0,403.98,1.02,1,402.43,0.57,1,402.57,1.86,1,596864.0,-326625.0,0,0.84,1.52,1.64,-0.13,31.12,403.25,64.99,3,14,0
404.43,404.93,403.21,403.35,173384,402.57,1.86,1,402.66,2.27,1,400.75,2.46,1,401.46,1.89,1,168902.0,4482.0,1,0.65,1.43,1.60,-0.17,31.23,403.27,58.83,3,14,0
403.27,403.42,401.57,401.70,178759,401.47,1.8,1,402.6,0.82,1,401.25,0.32,1,401.86,-0.16,0,153279.0,25480.0,1,0.35,1.22,1.53,-0.30,29.91,402.96,50.98,3,14,1
401.65,402.64,401.00,402.33,158905,401.77,-0.12,0,402.93,-0.29,0,401.72,-0.72,0,402.28,0.05,1,151949.0,6956.0,1,0.43,1.09,1.44,-0.35,28.26,402.83,53.54,3,14,1
402.43,402.43,401.71,402.10,172117,402.3,0.13,1,402.88,-0.45,0,402.09,-0.38,0,402.14,-0.04,0,90450.0,81667.0,0,0.31,0.96,1.34,-0.39,26.73,402.68,52.44,3,14,1
402.13,402.53,401.34,401.65,106907,402.21,-0.08,0,403.14,-0.61,0,402.12,-0.78,0,402.79,-1.14,0,105138.0,1769.0,1,0.17,0.81,1.24,-0.43,25.02,402.48,50.35,3,14,1
401.71,402.50,401.56,402.10,150247,402.74,-1.03,0,404.75,-2.25,0,402.56,-1.0,0,403.95,-1.85,0,244011.0,-93764.0,0,0.30,0.72,1.13,-0.42,23.43,402.40,52.42,3,14,1
402.01,402.03,400.50,400.66,151004,404.06,-2.05,0,404.5,-2.47,0,403.64,-3.14,0,404.17,-3.51,0,131716.0,19288.0,1,-0.01,0.52,1.01,-0.49,22.39,402.05,45.80,3,14,1
400.63,402.99,400.29,402.76,200147,404.24,-3.61,0,405.1,-2.11,0,402.89,-2.6,0,403.33,-0.57,0,247828.0,-47681.0,0,0.54,0.53,0.91,-0.38,20.93,402.19,54.77,3,15,1
402.74,403.11,402.39,402.52,146760,403.31,-0.57,0,403.5,-0.39,0,402.65,-0.26,0,403.0,-0.48,0,117282.0,29478.0,1,0.49,0.51,0.83,-0.32,19.67,402.26,53.68,3,15,0
402.49,402.59,401.80,402.23,106920,403.29,-0.8,0,405.0,-2.41,0,403.0,-1.2,0,404.43,-2.2,0,270239.0,-163319.0,0,0.42,0.47,0.76,-0.29,18.51,402.25,52.31,3,15,1
402.21,404.04,402.07,403.65,218225,404.43,-2.22,0,404.93,-0.89,0,403.21,-1.14,0,403.35,0.3,1,173384.0,44841.0,1,0.77,0.54,0.72,-0.17,18.03,402.53,57.95,3,15,1
403.65,404.19,403.09,404.19,268111,403.27,0.38,1,403.42,0.77,1,401.57,1.52,1,401.7,2.49,1,178759.0,89352.0,1,0.87,0.64,0.70,-0.06,17.69,402.87,59.86,3,15,1
